type,lemma,full,gloss,freq,diff,alphabetical,fgroup,,,,,,
Verb,αἴρω,αἴρω,"to take up, take away",101,50,aiqx,50-100,,,,,,
Verb,δεῖ,δεῖ,it is necessary,101,50,dei,50-100,,,,,,
Noun,ὁδός,"ὁδός, -οῦ, ἡ","a way, road, journey",101,50,odor,50-100,,,,,,
Noun,τέκνον,"τέκνον, -ου, τό",a child,101,50,sejmom,50-100,,,,,,
Pronoun,ἀλλήλων,"ἀλλήλων, -ους, -ους",of one another,100,50,akkgkxm,100-250,,,,,,
Noun,ὀφθαλμός,"ὀφθαλμός, -οῦ, ὁ",an eye,100,50,ouhaklor,100-250,,,,,,
Verb,τίθημι,τίθημι,to place,100,50,sihgli,100-250,,,,,,
Adjective,ἕτερος,"ἕτερος, -α, -ον","other, another, different",98,50,eseqor,50-100,,,,,,
Proper Noun,Φαρισαῖος,"Φαρισαῖος, -ου, ὁ",Pharisee,98,50,uaqiraior,50-100,,,,,,
Noun,αἷμα,"αἷμα, -τος, τό",blood,97,50,aila,50-100,,,,,,
Noun,ἄρτος,"ἄρτος, -ου, ὁ","bread, a loaf",97,50,aqsor,50-100,,,,,,
Verb,γεννάω,γεννάω,to beget,97,50,cemmax,50-100,,,,,,
Verb,διδάσκω,διδάσκω,to teach,97,50,didarjx,50-100,,,,,,
Adverb,ἐκεῖ,ἐκεῖ,there,95,50,ejei,50-100,,,,,,
Verb,περιπατέω,περιπατέω,to walk,95,50,peqipasex,50-100,,,,,,
Verb,φοβέω,φοβέομαι,to fear,95,50,uobex,50-100,,,,,,
Preposition,ἐνώπιον,ἐνώπιον,before (gen),94,50,emxpiom,50-100,,,,,,
Noun,τόπος,"τόπος, -ου, ὁ",a place,94,50,sopor,50-100,,,,,,
Adverb,ἔτι,ἔτι,"still, yet, even",93,50,esi,50-100,,,,,,
Noun,οἰκία,"οἰκία, -ας, ἡ",a house,93,50,oijia,50-100,,,,,,
Noun,πούς,"πούς, ποδός, ὁ",a foot,93,50,potr,50-100,,,,,,
Noun,δικαιοσύνη,"δικαιοσύνη, -ης, ἡ",righteousness,92,50,dijaiortmg,50-100,,,,,,
Noun,εἰρήνη,"εἰρήνη, -ης, ἡ",peace,92,50,eiqgmg,50-100,,,,,,
